,season,teamName,week,team,opponent,result,owner,opponent_owner
749,2020,Washington Foreskins,14,7,The Yoshinoya Beef Bowls,158.03 - 145.37 Win,Ryan,Kevin
750,2020,Washington Foreskins,15,7,Creamworks VII,103.67 - 161.13 Loss,Ryan,Owen
751,2020,Washington Foreskins,16,7,Hackysack Millionaires,168.30 - 143.43 Win,Ryan,Peter
752,2020,Footle My Tootle,1,8,Munter Hunters,167.53 - 120.97 Win,Jake,nickolai
753,2020,Footle My Tootle,2,8,Hackysack Millionaires,146.30 - 155.90 Loss,Jake,Peter
754,2020,Footle My Tootle,3,8,Washington Foreskins,132.17 - 225.40 Loss,Jake,Ryan
755,2020,Footle My Tootle,4,8,The Yoshinoya Beef Bowls,127.10 - 187.07 Loss,Jake,Kevin
756,2020,Footle My Tootle,5,8,Chub Chub,131.37 - 146.50 Loss,Jake,John
757,2020,Footle My Tootle,6,8,Bing Bong,143.43 - 166.13 Loss,Jake,zeyad
758,2020,Footle My Tootle,7,8,Creamworks VII,130.83 - 159.43 Loss,Jake,Owen
759,2020,Footle My Tootle,8,8,Munter Hunters,73.93 - 138.90 Loss,Jake,nickolai
760,2020,Footle My Tootle,9,8,Hackysack Millionaires,125.53 - 130.03 Loss,Jake,Peter
761,2020,Footle My Tootle,10,8,Washington Foreskins,132.97 - 123.23 Win,Jake,Ryan
762,2020,Footle My Tootle,11,8,The Yoshinoya Beef Bowls,186.30 - 124.60 Win,Jake,Kevin
763,2020,Footle My Tootle,12,8,Chub Chub,155.47 - 146.17 Win,Jake,John
764,2020,Footle My Tootle,13,8,Bing Bong,83.83 - 159.13 Loss,Jake,zeyad
765,2020,Footle My Tootle,14,8,Creamworks VII,127.10 - 166.00 Loss,Jake,Owen
766,2020,Footle My Tootle,15,8,Munter Hunters,169.73 - 122.83 Win,Jake,nickolai
767,2020,Footle My Tootle,16,8,The Yoshinoya Beef Bowls,149.67 - 115.10 Win,Jake,Kevin
768,2021,Krispy Cream Abdul Jabbar,1,1,Certified Baby Lover,207.67 - 156.63 Win,Owen,Kevin
769,2021,Krispy Cream Abdul Jabbar,2,1,Peter is a nonce,159.27 - 135.73 Win,Owen,nickolai
770,2021,Krispy Cream Abdul Jabbar,3,1,Chub Chub,121.53 - 105.80 Win,Owen,John
771,2021,Krispy Cream Abdul Jabbar,4,1,Balls Galore Whorioles,161.63 - 143.37 Win,Owen,Peter
